"state","county","trump","clinton","romney","obama","voting_population","white_pct","black_pct","hispanic_pct","foreignborn_pct","female_pct","age29andunder_pct","age65andolder_pct","median_income","lesscollege_pct","rural_pct"
"Montana","McCone",862,154,745,223,1325,92.1930870083433,0,0.893921334922527,0.357568533969011,45.5303933253874,31.6448152562574,22.8247914183552,42330,83.5748792270531,100
"Montana","Madison",3297,1180,3130,1289,6400,94.2509603072983,0.166453265044814,3.0089628681178,3.06017925736236,48.1946222791293,26.1587708066581,26.0819462227913,47617,73.4455958549223,100
"Montana","Meagher",729,193,670,269,1530,95.8673469387755,0,1.93877551020408,1.07142857142857,52.1938775510204,31.530612244898,22.1428571428571,39032,78.7752261656228,100
"Montana","Mineral",1330,519,1216,700,3450,97.2768174283685,0.0473596968979399,1.32607151314232,1.89438787591759,48.9699265924698,27.9895808666825,26.7108690504381,37143,87.3356845142674,100
"Montana","Missoula",22250,31543,22652,32824,89740,90.0655166620985,0.415557775793317,3.01765678464381,2.45267504266098,49.6662275311447,42.2427741576113,13.5595618075879,46371,58.1835751385739,22.3268282417954
"Montana","Musselshell",1967,332,1833,492,3690,92.8840519045626,0.230221850146505,2.65801590623692,1.84177480117204,50.3139388865634,32.1473419840938,21.1804102134784,41557,85.4087313214181,100
"Montana","Park",4980,3595,4709,3783,12695,94.0415325380294,0.315596793536578,2.6005175787414,2.16499400366092,50.0284037114183,29.9438237707505,19.4028908666288,43385,64.7938492734032,47.7359938603223
"Montana","Petroleum",278,30,240,49,370,100,0,0,0.674157303370786,46.2921348314607,23.3707865168539,19.7752808988764,38250,78.7114845938375,100
"Montana","Phillips",1723,318,1688,471,3220,85.2289156626506,0,2.16867469879518,0.867469879518072,49.7349397590361,33.8795180722892,21.0602409638554,38692,82.6101810727708,100
"Montana","Pondera",1799,738,1673,975,4605,80.9601037950049,0.389231268245216,1.88128446318521,2.18942588387934,49.7242945183263,37.5283814466429,19.6561790463834,42193,77.3247496423462,58.101738989111
"Montana","Powder River",884,127,833,170,1365,94.4174757281553,0,1.51699029126214,1.09223300970874,50.7888349514563,28.5800970873786,23.7257281553398,47955,74.6445497630332,100
"Montana","Powell",2029,551,1806,888,5895,90.3579676674365,0.418591224018476,2.45381062355658,0.447459584295612,37.7309468822171,29.6622401847575,18.64896073903,43064,81.9681349578257,54.2194393055358
"Montana","Prairie",556,100,520,167,1055,95.8981612446959,0,1.48514851485149,1.83875530410184,47.1711456859972,31.2588401697313,25.8840169731259,44643,80.8300395256917,100
"Montana","Ravalli",14810,6223,14307,7285,32655,93.2992949185509,0.0778020909311938,3.21419888159494,1.64843180160467,50.437636761488,30.8922927303671,22.776562120107,40546,74.2476139802468,84.6264796578136
"Montana","Richland",3908,671,3510,1002,8455,89.9841994382023,0,4.96839887640449,1.99262640449438,48.5252808988764,39.747191011236,13.2373595505618,65638,81.5865892291447,44.2027498460907
"Montana","Roosevelt",1797,1560,1514,2086,7565,36.0641139804096,0.0534283170080142,2.94746215494212,0.837043633125557,50.8014247551202,49.6081923419412,10.7123775601069,34481,85.843608553145,39.7314148681055
"Montana","Rosebud",2253,987,2004,1422,6550,57.1566110397946,0.192554557124519,4.53572956782199,1.27299957210098,50.4813863928113,43.1536157466838,13.6927685066324,55609,80.1863997238523,100
"Montana","Sanders",4286,1218,3980,1720,9225,90.2505494505495,0.158241758241758,2.62857142857143,2.6021978021978,48.6857142857143,27.7802197802198,26.2153846153846,34336,83.6240986275878,100
