party,post_id,shares,likes,total_interactions,ad_group
AfD,570893299597210_2545313065488547,6,33,40,not sponsored
AfD,570893299597210_2550171918335995,7,35,42,not sponsored
AfD,570893299597210_2548793651807155,7,49,58,not sponsored
AfD,570893299597210_2547120541974466,10,49,60,not sponsored
AfD,570893299597210_2548383345181519,20,23,110,not sponsored
AfD,570893299597210_2551856031500917,6,57,67,not sponsored
AfD,570893299597210_2548604551826065,14,133,169,not sponsored
AfD,570893299597210_2544988425521011,7,55,111,not sponsored
AfD,570893299597210_2537791616240692,8,142,179,not sponsored
AfD,570893299597210_2541584755861378,36,75,282,not sponsored
AfD,570893299597210_2546705778682609,3,47,62,not sponsored
AfD,570893299597210_2541192982567222,7,25,35,not sponsored
AfD,570893299597210_2539370562749464,1,13,16,not sponsored
AfD,570893299597210_2538305222855998,11,62,78,not sponsored
AfD,570893299597210_2534699666549887,7,9,59,not sponsored
AfD,570893299597210_2544791978873989,11,25,107,not sponsored
AfD,570893299597210_2542988619054325,13,18,125,not sponsored
AfD,570893299597210_2533078420045345,21,159,203,not sponsored
AfD,570893299597210_2541919589161228,40,68,219,not sponsored
AfD,570893299597210_2535130593173461,48,96,158,not sponsored
AfD,570893299597210_2532474336772420,15,25,104,not sponsored
AfD,570893299597210_2529634387056415,71,51,315,not sponsored
AfD,570893299597210_2538656829487504,9,49,60,not sponsored
AfD,570893299597210_2534581213228399,20,84,143,not sponsored
AfD,570893299597210_2529194527100401,30,24,167,not sponsored
AfD,570893299597210_2520619454624575,7,46,103,not sponsored
AfD,570893299597210_2536291813057339,18,16,86,not sponsored
AfD,570893299597210_2536020806417773,10,82,101,not sponsored
AfD,570893299597210_2532724590080728,48,60,259,not sponsored
AfD,570893299597210_2531300946889759,11,50,79,not sponsored
AfD,570893299597210_2530905396929314,35,11,161,not sponsored
AfD,570893299597210_2524375747582279,23,149,205,not sponsored
AfD,570893299597210_2525903317429522,14,147,200,not sponsored
AfD,570893299597210_2529004587119395,7,16,45,not sponsored
AfD,570893299597210_2527482633938257,14,51,66,not sponsored
AfD,570893299597210_2527791877240666,89,72,511,not sponsored
AfD,570893299597210_2526381764048344,31,106,151,not sponsored
AfD,570893299597210_2527154957304358,35,34,174,not sponsored
AfD,570893299597210_2517523048267549,50,95,223,not sponsored
AfD,570893299597210_2519166031436584,8,38,49,not sponsored
AfD,570893299597210_2522195584466962,19,65,184,not sponsored
AfD,570893299597210_2521226324563888,18,25,96,not sponsored
AfD,570893299597210_2522485917771262,49,46,261,not sponsored
AfD,570893299597210_2511164325570088,23,244,302,not sponsored
AfD,570893299597210_2517395894946931,15,191,226,not sponsored
AfD,570893299597210_2520896221263565,26,68,158,not sponsored
AfD,570893299597210_2510974625589058,5,20,27,not sponsored
AfD,570893299597210_2515881738431680,35,25,191,not sponsored
AfD,570893299597210_2496081887078332,12,88,114,not sponsored
AfD,570893299597210_2516583558361498,51,50,215,not sponsored
AfD,570893299597210_2517843308235523,5,18,24,not sponsored
AfD,570893299597210_2506754269344427,29,127,239,not sponsored
AfD,570893299597210_2493855667300954,6,33,66,not sponsored
AfD,570893299597210_2511467875539733,11,20,77,not sponsored
AfD,570893299597210_2519982011354986,38,32,142,not sponsored
AfD,570893299597210_2506471589372695,14,20,91,not sponsored
AfD,570893299597210_2511754805511040,11,64,76,not sponsored
AfD,570893299597210_2512649668754887,35,78,124,not sponsored
AfD,570893299597210_2507850295901491,36,44,412,not sponsored
AfD,570893299597210_2509578019062052,38,169,235,not sponsored
AfD,570893299597210_2503059036380617,8,23,35,not sponsored
AfD,570893299597210_2509272862425901,12,75,103,not sponsored
AfD,570893299597210_2504473499572504,25,42,278,not sponsored
AfD,570893299597210_2516070658412788,32,27,173,not sponsored
AfD,570893299597210_2485713681448486,14,29,116,not sponsored
AfD,570893299597210_2497849973568190,33,64,106,not sponsored
AfD,570893299597210_2504890102864177,28,93,138,not sponsored
AfD,570893299597210_2494553833897804,9,22,51,not sponsored
AfD,570893299597210_2506172506069270,6,48,59,not sponsored
AfD,570893299597210_2505916192761568,15,96,199,not sponsored
AfD,570893299597210_2497663176920203,30,18,165,not sponsored
AfD,570893299597210_2494154117271109,12,32,68,not sponsored
AfD,570893299597210_2499861023367085,16,20,87,not sponsored
AfD,570893299597210_2500849369934917,33,32,105,not sponsored
AfD,570893299597210_2492377910782063,35,107,164,not sponsored
AfD,570893299597210_2492478214105366,16,38,77,not sponsored
AfD,570893299597210_2499096336776887,11,52,84,not sponsored
AfD,570893299597210_2497070690312785,33,128,191,not sponsored
AfD,570893299597210_2487725187914002,39,150,215,not sponsored
AfD,570893299597210_2492488184104369,17,170,203,not sponsored
AfD,570893299597210_2486506521369202,5,39,51,not sponsored
AfD,2486231474730040:9:0,2,5,8,not sponsored
AfD,570893299597210_2495614463791741,16,51,108,not sponsored
AfD,570893299597210_2491168647569656,47,36,166,not sponsored
AfD,570893299597210_2492897427396778,18,28,112,not sponsored
AfD,570893299597210_2485929864760201,15,78,121,not sponsored
AfD,570893299597210_2487340344619153,24,24,184,not sponsored
AfD,570893299597210_2490591920960662,4,43,59,not sponsored
AfD,570893299597210_2492211010798753,11,44,107,not sponsored
AfD,570893299597210_2489608747725646,13,30,54,not sponsored
AfD,570893299597210_2501622123190975,6,22,29,not sponsored
AfD,570893299597210_2488994134453774,39,67,230,not sponsored
AfD,570893299597210_2482543008432220,15,72,92,not sponsored
AfD,570893299597210_2489661047720416,3,26,30,not sponsored
AfD,570893299597210_2481370445216143,9,51,63,not sponsored
AfD,570893299597210_2497457683607419,36,135,195,not sponsored
AfD,570893299597210_2475248869161634,1,12,24,not sponsored
AfD,570893299597210_2478891818797339,3,39,56,not sponsored
